id,name,age,salary,department,joining_date,employee_status
70,Ian,23,80000,Sales,2016-02-08,active
71,Hannah,60,,Finance,2017-10-28,active
72,Eve,60,70000,HR,2017-03-08,terminated
73,Bob,23,,Sales,2018-11-06,active
74,Eve,,invalid,Sales,2020-08-27,terminated
75,Hannah,23,,Sales,2020-02-12,terminated
76,Jack,,80000,Engineering,2018-02-19,terminated
77,Ian,23,,HR,2018-02-23,active
78,Ian,40,50000,Marketing,2020-03-17,active
79,Alice,25,60000,HR,2019-10-30,active
80,Ian,60,80000,Sales,2016-08-17,active
81,Grace,,80000,HR,2018-11-21,terminated
82,Ian,32,60000,Marketing,,terminated
83,Hannah,23,500000,Engineering,2021-10-15,active
84,Alice,23,500000,HR,2021-02-13,terminated
85,Hannah,45,70000,HR,2018-03-23,terminated
86,Hannah,32,80000,Engineering,2015-05-04,active
87,Charlie,32,50000,Engineering,2020-04-12,active
88,Alice,60,,Sales,2016-08-29,terminated
89,Hannah,40,invalid,Sales,2015-05-02,active
90,Charlie,25,80000,Engineering,2022-12-31,active
91,Charlie,40,70000,Marketing,2017-12-30,terminated
92,Alice,25,80000,Sales,2017-06-23,terminated
93,Eve,,70000,Marketing,2020-11-21,terminated
94,Jack,60,60000,Engineering,2022-06-06,active
95,Grace,40,,HR,2016-11-03,terminated
96,Jack,45,50000,Engineering,2018-03-30,terminated
97,Ian,25,70000,Engineering,2017-06-07,active
98,Grace,40,50000,Finance,2019-09-12,active
99,Ian,60,1000000,Engineering,2019-08-31,terminated
100,Hannah,45,60000,Sales,2017-12-13,terminated
101,Bob,60,80000,HR,2021-11-04,active
102,Alice,32,70000,Marketing,2022-08-30,active
103,Grace,23,,Finance,2020-03-04,terminated
104,Grace,,1000000,Sales,2016-07-14,terminated
105,Hannah,60,70000,HR,2020-03-10,active
106,Eve,,500000,Marketing,2022-05-17,terminated
107,Charlie,60,80000,HR,2022-10-19,active
108,Hannah,32,80000,Sales,2018-03-02,terminated
109,Frank,60,,HR,2017-09-05,terminated
110,Charlie,60,,Engineering,2015-05-26,terminated
111,Alice,40,60000,HR,2018-02-28,active
112,Charlie,23,1000000,Engineering,2022-01-05,active
113,Eve,32,1000000,Sales,2017-12-24,terminated
114,Charlie,45,50000,Finance,2020-01-01,active
115,Alice,23,70000,Engineering,2017-04-15,active
116,Eve,25,60000,HR,2015-11-24,terminated
117,Jack,40,50000,HR,2021-10-11,terminated
118,Grace,23,1000000,HR,2022-10-15,active
119,Grace,25,60000,Sales,2021-07-09,terminated
120,Ian,32,500000,Marketing,2018-08-14,terminated
121,Jack,60,,HR,2016-09-17,active
122,Jack,,,HR,2021-09-10,terminated
123,Charlie,23,80000,Engineering,2016-06-17,active
124,Grace,23,70000,Finance,2015-02-26,active
125,Alice,25,70000,HR,2016-11-24,terminated
126,David,25,70000,Sales,2021-11-08,terminated
127,David,,60000,Marketing,2022-11-12,active
128,Eve,25,60000,Marketing,2015-04-28,active
129,Grace,25,70000,Marketing,2019-06-08,active
130,Grace,23,80000,Sales,2022-02-16,terminated
131,David,,50000,Marketing,2016-07-18,active
132,Grace,,500000,Marketing,2016-05-10,terminated
133,Charlie,60,60000,Engineering,2020-02-29,active
134,Frank,23,70000,Marketing,2017-03-11,active
135,Bob,60,,Engineering,2019-03-16,terminated
136,Jack,32,60000,Engineering,2016-10-02,active
137,Ian,32,invalid,Engineering,2015-06-12,terminated
138,Eve,23,60000,Sales,2015-09-08,terminated
139,Frank,25,50000,HR,2016-10-05,terminated
140,David,40,50000,Finance,2015-11-25,active
141,Jack,32,60000,Marketing,2020-12-05,terminated
142,Grace,32,50000,Finance,2016-01-04,terminated
143,Ian,23,60000,HR,2022-08-27,terminated
144,Grace,60,60000,Engineering,2018-02-12,terminated
145,Alice,23,80000,Engineering,2015-07-14,active
146,Alice,40,,Engineering,2022-04-07,terminated
147,Ian,40,500000,Engineering,2016-12-24,active
148,Ian,,50000,Marketing,2019-07-21,active
149,David,23,60000,HR,2015-05-18,terminated
150,Ian,32,50000,HR,2019-08-11,active
151,Charlie,60,60000,HR,2018-08-12,active
152,Grace,60,500000,Finance,2015-06-05,terminated
153,Frank,45,1000000,Engineering,2017-11-24,terminated
154,Hannah,45,60000,Sales,2016-06-02,active
155,Ian,25,60000,HR,2015-07-01,active
156,Eve,32,,Finance,2020-07-09,terminated
157,Alice,45,50000,Marketing,2015-06-19,active
158,Charlie,60,,Engineering,2021-12-19,active
159,Jack,32,,Finance,2018-08-10,active
160,Hannah,23,1000000,Sales,2019-10-13,terminated
161,Frank,32,1000000,Sales,2018-10-19,terminated
162,Hannah,45,invalid,Marketing,2022-07-23,terminated
163,Ian,60,,HR,2018-09-22,terminated
164,David,32,80000,HR,2020-08-11,terminated
165,Alice,40,50000,Finance,2016-02-27,terminated
166,Alice,25,50000,Finance,2022-09-30,terminated
167,Jack,,60000,HR,2022-09-01,active
168,David,60,50000,HR,2021-11-26,terminated
169,Grace,45,500000,Finance,2015-05-26,terminated
170,Bob,23,,Engineering,2021-07-01,terminated
171,Charlie,,70000,Sales,2016-08-10,active
172,Alice,25,1000000,Sales,2015-08-18,active
173,Eve,60,50000,Marketing,2020-04-25,active
174,Alice,60,1000000,Sales,2020-02-13,terminated
175,Hannah,40,1000000,Finance,2018-07-16,active
176,Alice,40,70000,Engineering,2016-08-07,terminated
177,Alice,40,1000000,Finance,2022-04-19,terminated
178,Bob,40,500000,HR,2022-08-15,active
179,Bob,45,80000,HR,2022-09-30,active
180,Frank,60,60000,Sales,2018-05-26,terminated
181,Grace,45,invalid,Engineering,2017-08-10,terminated
182,Eve,32,60000,Marketing,2018-10-16,active
183,Alice,23,80000,Finance,2022-06-21,terminated
184,Alice,32,invalid,Marketing,2018-10-20,active
185,Charlie,23,1000000,Marketing,2015-04-16,active
186,Bob,25,70000,Marketing,2019-07-15,terminated
187,Eve,32,50000,Marketing,2019-12-27,terminated
188,Jack,25,,Finance,2015-10-12,active
189,Frank,25,60000,HR,2016-08-18,terminated
190,Grace,25,invalid,Finance,2022-11-23,active
191,David,40,1000000,HR,2016-06-09,active
192,Grace,,,HR,2017-05-26,terminated
193,Hannah,,70000,Finance,2021-02-05,active
194,Alice,45,,Finance,2017-11-28,terminated
195,Frank,25,80000,Finance,2022-11-26,terminated
196,Hannah,40,60000,HR,2022-01-03,active
197,Eve,32,70000,Finance,2018-04-21,active
198,David,32,1000000,Engineering,2016-07-05,active
199,Bob,45,50000,Sales,2019-08-16,active
200,Frank,45,1000000,Sales,2017-02-02,terminated
201,Frank,25,60000,Engineering,2022-08-20,active
202,Alice,25,1000000,Sales,2017-10-13,terminated
203,Ian,32,,HR,2021-11-25,active
204,Frank,32,70000,Finance,2016-04-10,terminated
205,Charlie,32,invalid,Finance,2020-05-07,active
206,David,32,50000,Finance,2018-08-28,active
207,David,,50000,Engineering,2015-10-29,active
208,Charlie,25,500000,Engineering,2016-11-26,active
209,Jack,25,,HR,2022-07-28,active
210,Charlie,32,80000,Engineering,2016-04-03,terminated
211,Charlie,40,,Finance,2020-04-30,active
212,David,32,70000,HR,2020-11-07,active
213,Grace,23,,HR,2020-12-03,active
214,David,60,70000,Finance,2022-06-15,active
215,Ian,60,500000,Marketing,2021-09-13,terminated
216,Alice,45,500000,Finance,2019-03-04,active
217,Hannah,23,500000,HR,2019-08-11,active
218,Grace,40,invalid,Marketing,2019-12-12,active
219,Bob,45,500000,Finance,2015-04-20,active
220,Hannah,60,,Finance,2021-02-25,terminated
221,Alice,40,50000,Marketing,2017-03-02,active
222,Ian,45,70000,Marketing,2022-03-24,active
223,Ian,32,1000000,Sales,2017-09-13,terminated
224,Bob,32,70000,Marketing,2022-09-11,terminated
225,Grace,40,50000,Engineering,2018-05-28,active
226,Jack,45,1000000,Marketing,2015-03-14,terminated
227,Charlie,,,HR,2017-05-27,terminated
228,Grace,40,80000,Marketing,2022-07-27,active
229,Jack,40,60000,Finance,2021-10-18,terminated
230,Ian,23,,Engineering,2019-08-23,active
231,David,25,500000,Marketing,2016-08-14,active
232,Alice,40,1000000,Engineering,2015-04-25,terminated
233,Bob,,,Sales,2015-01-25,terminated
234,Alice,32,70000,Engineering,2021-02-02,active
235,Eve,45,70000,Finance,2018-07-26,active
236,Eve,25,80000,Sales,2021-05-29,terminated
237,Grace,45,500000,Marketing,2018-05-28,terminated
238,Ian,32,1000000,Engineering,2017-10-23,terminated
239,Ian,40,80000,Sales,2015-11-11,terminated
240,Charlie,23,80000,Marketing,2018-12-01,terminated
241,Charlie,,50000,Marketing,2019-04-18,active
242,Charlie,25,1000000,Engineering,2022-07-04,terminated
243,David,,60000,Engineering,2022-02-11,active
244,Hannah,60,60000,Sales,2020-10-11,terminated
245,Frank,,1000000,Engineering,2018-01-17,terminated
246,Hannah,,500000,Marketing,2015-04-13,terminated
247,Alice,,80000,Finance,2020-02-20,active
248,Hannah,32,70000,Sales,2019-09-19,terminated
249,David,,60000,Finance,2015-06-08,active
250,Alice,23,1000000,Finance,2022-02-21,active
251,Hannah,,1000000,Marketing,2017-01-03,active
252,David,32,,Finance,2015-12-25,terminated
253,Frank,45,50000,HR,2020-07-21,terminated
254,Hannah,32,70000,Sales,2022-07-10,terminated
255,David,60,50000,Marketing,2017-02-03,terminated
256,Charlie,60,,Engineering,2021-12-12,terminated
257,Ian,23,60000,Marketing,2015-07-11,terminated
258,Charlie,23,50000,Engineering,2015-09-01,terminated
259,Ian,40,500000,Marketing,2017-07-22,active
260,Bob,32,50000,HR,2016-08-05,active
261,Bob,45,50000,Sales,,terminated
262,Bob,40,1000000,Finance,2017-01-02,terminated
263,Frank,40,,Marketing,2019-12-05,active
264,Charlie,25,1000000,Sales,2017-02-19,active
265,Ian,,70000,Sales,2017-03-04,terminated
266,David,40,1000000,Sales,2017-09-29,terminated
267,Alice,40,70000,Sales,2022-08-12,active
268,David,23,,Sales,2015-04-01,terminated
269,Alice,45,invalid,Finance,2022-02-28,terminated
270,Eve,40,50000,Finance,2021-09-01,terminated
271,David,60,50000,Marketing,2019-06-30,active
272,Hannah,45,80000,Engineering,2020-04-11,terminated
273,Hannah,,500000,Marketing,2016-03-11,terminated
274,Grace,60,60000,Sales,2020-01-03,active
275,Charlie,23,60000,Engineering,2020-03-31,terminated
276,Alice,60,70000,Marketing,2015-02-16,active
277,Alice,25,,Engineering,2017-08-27,terminated
278,Charlie,25,50000,Finance,2021-06-12,terminated
279,Frank,,1000000,Sales,2015-04-24,active
280,Grace,,500000,Engineering,2017-12-17,terminated
281,Frank,60,60000,HR,2015-02-13,terminated
282,Frank,23,,Sales,2021-07-29,terminated
283,Frank,23,,Finance,2019-12-08,terminated
284,Charlie,32,50000,Finance,2017-11-01,terminated
285,Frank,40,500000,Marketing,2016-01-29,terminated
286,Hannah,40,,HR,2022-07-27,active
287,Bob,40,60000,Engineering,2019-05-09,terminated
288,Eve,45,80000,Marketing,2017-01-29,active
289,Alice,32,60000,Finance,2018-12-08,active
290,Alice,60,500000,Engineering,2020-04-18,active
291,Eve,40,80000,Finance,2019-03-06,active
292,Charlie,45,1000000,Finance,2019-07-30,terminated
293,David,45,1000000,HR,2015-08-18,terminated
294,Charlie,25,,Sales,2015-12-22,active
295,Alice,45,60000,Engineering,,active
296,Alice,,50000,HR,2016-05-14,terminated
297,Eve,23,500000,Finance,2019-12-02,terminated
298,Frank,45,,Finance,2019-02-12,terminated
299,Charlie,,50000,HR,2015-01-20,active
300,Ian,,80000,Engineering,2015-08-03,active
301,Eve,25,1000000,Finance,2017-01-13,active
302,Hannah,60,70000,Engineering,2021-12-16,terminated
303,Alice,25,70000,HR,2020-12-05,terminated
304,Eve,45,80000,Finance,2022-02-21,terminated
305,Charlie,25,70000,Marketing,2019-07-13,terminated
306,Alice,25,500000,Marketing,2019-01-13,terminated
307,David,60,,Finance,2019-08-10,terminated
308,Eve,23,,Sales,2015-09-20,terminated
309,Grace,40,500000,Finance,2020-05-30,active
310,Alice,45,60000,Finance,2015-12-02,active
311,Charlie,60,,Finance,2016-06-05,active
312,Bob,45,invalid,HR,2018-03-02,active
313,Ian,45,70000,Finance,2017-10-13,active
314,Jack,25,1000000,Finance,2021-03-01,active
315,Frank,23,500000,HR,2017-09-10,terminated
316,Jack,25,50000,Finance,2019-04-09,active
317,Charlie,,60000,Marketing,2022-05-26,active
318,Hannah,32,invalid,Marketing,2022-12-13,active
319,Hannah,32,1000000,Finance,2021-03-13,active
320,Bob,60,70000,HR,2015-08-22,terminated
321,Frank,32,1000000,Finance,2019-05-10,terminated
322,Grace,60,50000,Finance,2016-02-06,terminated
323,Bob,40,70000,Engineering,,terminated
324,Jack,25,,Sales,2021-12-07,terminated
325,Bob,,60000,HR,2016-01-25,terminated
326,Jack,,80000,Sales,2015-06-22,active
327,Alice,32,70000,Engineering,2022-10-11,active
328,Hannah,23,500000,Sales,2016-05-21,terminated
329,Alice,40,500000,Finance,2020-12-31,terminated
330,Ian,60,,Marketing,2015-09-04,active
331,Frank,40,500000,HR,2022-02-01,terminated
332,Grace,32,50000,HR,2021-06-25,terminated
333,Jack,60,,Finance,2016-11-15,terminated
334,Grace,60,500000,Sales,2021-03-31,active
335,Jack,32,50000,HR,2016-07-15,active
336,Charlie,25,50000,Engineering,2021-12-20,active
337,Bob,23,50000,Engineering,2022-06-07,active
338,Ian,40,500000,Sales,2022-04-13,active
339,Hannah,,50000,Engineering,2018-12-13,terminated
340,Jack,32,1000000,Marketing,2022-03-24,active
341,Grace,25,60000,Finance,2022-02-01,active
342,Ian,,500000,HR,2015-03-03,terminated
343,David,40,50000,Finance,2017-12-30,terminated
344,David,32,60000,Sales,2020-04-02,terminated
345,Alice,60,1000000,Finance,2019-12-31,active
346,Hannah,23,80000,HR,2017-08-01,active
347,Charlie,32,60000,HR,2022-05-16,active
348,Grace,23,500000,Sales,2015-04-27,active
349,Bob,25,500000,HR,2022-01-01,terminated
350,Bob,25,invalid,Engineering,2019-03-24,active
351,Grace,40,invalid,Finance,2018-05-08,active
352,Frank,23,1000000,Marketing,2022-02-15,terminated
353,Charlie,32,1000000,Marketing,2017-09-15,terminated
354,Ian,25,500000,Marketing,2019-09-12,terminated
355,Jack,32,80000,Sales,2022-11-29,active
356,Frank,40,1000000,Marketing,2022-02-10,active
357,Jack,23,,Finance,2022-09-23,active
358,Jack,32,60000,HR,2021-07-12,terminated
359,Frank,,,Engineering,2015-07-03,active
360,Alice,32,80000,Marketing,2018-12-24,active
361,David,45,60000,Marketing,2021-05-16,terminated
362,Jack,45,50000,Marketing,2022-10-21,active
363,Frank,60,60000,Engineering,2019-10-03,active
364,Frank,40,50000,Finance,2020-06-09,active
365,Eve,40,70000,Marketing,2018-08-16,terminated
366,Alice,40,60000,HR,2016-05-30,terminated
367,Hannah,,60000,Sales,2020-07-30,active
368,Eve,23,,Engineering,2015-04-29,terminated
369,Eve,,,Finance,2017-03-02,active
370,Grace,60,80000,HR,2022-11-26,active
371,David,32,50000,Engineering,2021-10-17,terminated
372,Frank,25,500000,Engineering,2020-07-03,active
373,David,23,,Sales,2018-11-26,terminated
374,Charlie,45,1000000,Sales,2016-10-29,terminated
375,Grace,45,80000,Finance,2018-12-07,active
376,Hannah,60,50000,Marketing,2021-07-04,terminated
377,David,45,50000,Sales,2015-04-13,active
378,Bob,60,50000,Finance,2017-05-20,active
379,Jack,32,70000,Engineering,,terminated
380,Charlie,32,50000,Marketing,2020-05-18,active
381,Alice,40,80000,HR,2020-04-10,terminated
382,Hannah,25,50000,Engineering,2017-12-04,terminated
383,Charlie,40,500000,Finance,2021-07-20,active
384,Jack,32,500000,HR,2021-09-23,terminated
385,Grace,,50000,Engineering,2019-05-25,active
386,Jack,40,80000,Sales,2015-02-18,terminated
387,Eve,23,60000,Finance,2015-04-29,active
388,Jack,32,50000,HR,2017-05-01,terminated
389,Eve,32,80000,Sales,2018-11-26,terminated
390,Grace,,,HR,2016-04-12,terminated
391,Ian,,invalid,Marketing,2019-04-03,active
392,Eve,,70000,Marketing,2015-02-16,active
393,Alice,25,,Finance,2015-01-01,terminated
394,Jack,23,500000,HR,2015-06-10,active
395,Jack,32,500000,Marketing,2018-08-11,active
396,Alice,,60000,Engineering,2016-09-15,terminated
397,Bob,25,60000,Engineering,2015-01-23,active
398,Frank,45,80000,Marketing,2018-07-17,active
399,Ian,23,80000,Marketing,2021-11-28,terminated
400,Hannah,60,50000,Finance,2020-06-27,terminated
401,Eve,60,invalid,Finance,2022-09-13,terminated
402,Alice,45,invalid,Engineering,2020-05-17,active
403,Grace,45,50000,Sales,2018-08-09,active
404,Eve,32,500000,HR,2019-05-31,terminated
405,Frank,25,70000,Sales,2016-05-13,active
406,Grace,25,1000000,Finance,2019-08-28,active
407,Charlie,45,50000,Sales,2016-05-01,active
408,Jack,23,500000,Finance,2016-01-14,terminated
409,Charlie,40,invalid,Sales,2017-02-13,active
410,Eve,45,1000000,Engineering,2019-07-03,terminated
411,Frank,32,80000,Finance,,active
412,Ian,45,50000,Engineering,2016-11-22,active
413,Eve,23,1000000,Sales,2022-01-03,active
414,Alice,23,70000,Marketing,2015-01-14,active
415,David,45,500000,Marketing,2021-04-10,terminated
416,Eve,25,80000,HR,2020-01-21,terminated
417,Jack,45,500000,Marketing,2021-03-11,terminated
418,Jack,,invalid,HR,2020-09-27,terminated
419,Eve,,80000,Sales,2018-01-09,active
420,Grace,40,500000,HR,2019-04-20,active
421,David,32,70000,HR,2017-05-27,active
422,Alice,32,70000,HR,,terminated
423,Eve,60,70000,Engineering,2016-11-02,active
424,Grace,25,50000,HR,2017-05-19,terminated
425,Jack,32,60000,Finance,2015-08-05,terminated
426,Jack,40,500000,Sales,,terminated
427,Frank,,70000,Engineering,2022-09-11,active
428,Eve,25,500000,Finance,2016-09-16,active
429,David,23,70000,Sales,2021-02-15,active
430,Bob,,500000,Engineering,2020-08-11,terminated
431,David,40,80000,Sales,2019-05-18,active
432,Jack,25,500000,Marketing,2016-04-04,terminated
433,Jack,45,1000000,Sales,2016-09-23,terminated
434,Charlie,32,60000,Marketing,2017-01-26,terminated
435,Jack,40,80000,Marketing,2022-10-02,active
436,Alice,25,80000,Sales,2015-05-11,active
437,Hannah,,invalid,Marketing,2016-06-13,active
438,Eve,25,,Engineering,2018-06-08,active
439,David,45,1000000,Marketing,2020-01-08,terminated
440,Hannah,40,60000,HR,2015-08-20,terminated
441,Grace,25,80000,Engineering,2021-09-29,active
442,Bob,23,,Engineering,2018-02-21,active
443,Alice,40,,Engineering,2016-07-15,active
444,David,40,80000,HR,2015-06-26,terminated
445,Hannah,,70000,HR,2017-12-31,active
446,Bob,60,50000,HR,2020-12-12,terminated
447,Charlie,32,80000,HR,2021-08-27,terminated
448,Alice,60,70000,HR,2021-02-10,active
449,Alice,23,60000,Finance,2015-03-25,active
450,Charlie,45,70000,Finance,2016-10-26,active
451,Eve,25,,HR,2022-07-20,active
452,Charlie,60,1000000,Engineering,,active
453,Alice,32,1000000,Marketing,2017-11-12,active
454,Alice,,60000,Marketing,2017-09-10,active
455,Hannah,32,1000000,Finance,2017-06-24,active
456,Jack,40,60000,HR,2022-05-21,terminated
457,Bob,40,50000,Sales,2020-04-21,active
458,Charlie,45,50000,Marketing,2019-09-27,active
459,Bob,23,80000,Marketing,2018-01-25,active
460,Charlie,25,1000000,Engineering,2019-05-29,terminated
461,Grace,25,70000,Marketing,2016-06-22,terminated
462,Alice,,80000,Finance,2021-01-19,active
463,Jack,45,50000,HR,2020-10-10,active
464,Hannah,25,,HR,2016-02-06,active
465,Jack,23,50000,Marketing,2015-09-20,terminated
466,Jack,40,70000,Sales,2015-07-18,active
467,Jack,45,,Finance,2018-05-22,active
468,Bob,32,1000000,Marketing,2022-09-26,terminated
469,Charlie,60,80000,Finance,2019-03-12,terminated
470,Ian,60,80000,Sales,2015-01-27,active
471,Grace,45,50000,Finance,2017-10-01,terminated
472,David,45,50000,Finance,2017-08-29,terminated
473,Jack,23,1000000,Finance,2018-05-03,active
474,Eve,23,500000,HR,2019-01-02,terminated
475,Bob,25,80000,Sales,2022-11-03,active
476,Hannah,60,1000000,HR,2021-06-28,active
477,David,,80000,Engineering,2015-12-11,active
478,Ian,,60000,Marketing,,active
479,Eve,23,70000,HR,2019-06-22,terminated
480,Ian,25,60000,Finance,2018-05-10,terminated
481,David,25,60000,Engineering,2017-01-29,active
482,Jack,25,80000,Sales,2018-10-03,terminated
483,Eve,23,500000,Sales,2020-08-20,terminated
484,Ian,,1000000,HR,2016-03-10,terminated
485,Hannah,25,1000000,Finance,2017-04-19,active
486,Charlie,23,70000,Finance,2021-01-04,terminated
487,Alice,32,80000,Sales,2020-04-01,terminated
488,Charlie,32,60000,Finance,2021-05-05,terminated
489,David,40,60000,Marketing,2022-07-25,active
490,Bob,32,1000000,HR,2015-08-24,terminated
491,Alice,45,1000000,HR,2016-10-04,terminated
492,Grace,40,80000,Finance,2017-06-29,active
493,Hannah,32,50000,Sales,2022-09-12,terminated
494,Grace,45,invalid,Marketing,2021-04-18,terminated
495,Eve,32,80000,Marketing,2022-02-28,active
496,Alice,23,,Marketing,2017-06-10,terminated
497,Grace,60,,Engineering,2017-01-30,active
498,Grace,45,50000,Finance,2018-05-10,active
499,Ian,25,70000,Marketing,2021-04-15,terminated
500,Charlie,23,500000,Finance,2017-03-24,terminated
501,Ian,60,60000,Sales,2021-08-17,active
502,Alice,45,1000000,Sales,2015-06-25,active
503,Alice,23,70000,Sales,2018-06-02,terminated
504,David,25,1000000,Engineering,2017-05-14,terminated
505,Ian,45,50000,Sales,2019-08-14,terminated
506,Frank,45,80000,Finance,2021-10-22,active
507,Charlie,60,,HR,2018-08-27,terminated
508,Alice,23,50000,HR,2020-10-02,active
509,David,32,70000,Finance,2021-06-26,active
510,Ian,45,70000,HR,2018-05-27,terminated
511,Charlie,32,500000,Marketing,2022-11-06,active
512,Ian,45,1000000,HR,2017-07-16,active
513,Grace,,50000,Engineering,2019-02-01,terminated
514,David,40,60000,Sales,2022-08-27,active
515,Charlie,32,70000,HR,2016-02-08,active
516,Jack,32,60000,HR,2015-12-13,active
517,Eve,60,invalid,Engineering,2022-06-16,terminated
518,Eve,25,1000000,Engineering,,active
519,Charlie,,80000,HR,2022-10-18,terminated
520,Ian,25,50000,Marketing,2021-08-03,active
521,David,,50000,HR,2017-12-16,active
522,Eve,,60000,Marketing,2018-01-15,terminated
523,David,23,80000,Sales,2021-08-22,active
524,Eve,23,70000,Finance,2017-07-19,terminated
525,Grace,23,70000,Sales,2020-10-27,terminated
526,Ian,45,50000,HR,2018-10-18,active
527,Grace,60,1000000,HR,2017-08-27,terminated
528,Eve,25,1000000,Marketing,2015-11-04,terminated
529,Jack,40,invalid,Engineering,2020-04-18,active
530,Jack,,80000,Marketing,2017-09-03,terminated
531,Grace,,80000,Engineering,2016-11-21,active
532,Jack,60,70000,Engineering,2021-03-20,active
533,Eve,32,70000,Engineering,2022-05-27,active
534,Charlie,45,1000000,Engineering,2015-06-13,active
535,Grace,40,,HR,2018-08-11,terminated
536,Bob,23,,Finance,2016-10-12,active
537,Ian,,60000,Finance,2020-07-02,terminated
538,Jack,32,,Sales,2021-06-17,active
539,Jack,25,80000,Sales,2021-01-26,active
540,Alice,,,Sales,2020-09-25,active
541,Frank,32,50000,Marketing,2015-01-06,active
542,Grace,25,50000,Sales,2019-04-20,active
543,Hannah,45,500000,Sales,2017-06-22,terminated
544,Jack,23,70000,Sales,,active
545,Ian,60,70000,HR,2018-02-20,terminated
546,Bob,25,1000000,Sales,2017-01-26,active
547,Jack,,60000,Finance,2017-06-30,terminated
548,Bob,40,50000,HR,2022-01-12,terminated
549,Eve,25,500000,Engineering,2017-04-22,active
550,Eve,40,60000,Marketing,2020-01-26,terminated
551,Frank,40,60000,HR,2016-07-16,terminated
552,Charlie,25,1000000,HR,2020-01-12,terminated
553,Hannah,60,,Finance,2021-07-02,active
554,Alice,60,70000,Sales,2020-04-15,terminated
555,Frank,45,60000,Engineering,2022-08-23,active
556,David,60,60000,Finance,2017-10-25,active
557,Alice,25,70000,Finance,,active
558,Grace,60,1000000,HR,2022-12-18,active
559,Ian,32,70000,Engineering,2019-05-09,terminated
560,David,23,50000,Finance,2020-12-18,active
561,David,40,70000,Marketing,,terminated
562,Frank,23,,Marketing,2017-06-26,active
563,Charlie,,50000,Finance,2016-07-30,active
